StringID	Type	x				y				demand	ReadyTime	DueDate		ServiceTime
D1			d		40.6765682		-73.7188953		0			0		168			0
D2			d		40.7712329		-73.8473843		0			0		168			0
D3			d		40.7179344		-73.9218974		0			0		168			0
D4			d		40.7524313		-73.973652		0			0		168			0
D5			d		40.6619644		-74.0090911		0			0		168			0
D6			d		40.7267163		-73.9751348		0			0		168			0
D7			d		40.8183211		-73.9319155		0			0		168			0
S1			f		40.863231		-73.828839		0			0		168			0
S2			f		40.879413		-73.875485		0			0		168			0
S3			f		40.8832058		-73.8423836		0			0		168			0
S4			f		40.90872		-73.905883		0			0		168			0
S5			f		40.850658		-73.881145		0			0		168			0
S6			f		40.8784594		-73.9159251		0			0		168			0
S7			f		40.822142		-73.931128		0			0		168			0
S8			f		40.7069649		-74.017971		0			0		168			0
S9			f		40.721748		-73.987653		0			0		168			0
S10			f		40.7453999		-73.99542		0			0		168			0
S11			f		40.7632446		-73.9886474		0			0		168			0
S12			f		40.76306		-73.968409		0			0		168			0
S13			f		40.7711127		-73.9509942		0			0		168			0
S14			f		40.7932684		-73.9702032		0			0		168			0
S15			f		40.8019938		-73.947969		0			0		168			0
S16			f		40.816777		-73.947435		0			0		168			0
S17			f		40.7442864		-73.9568715		0			0		168			0
S18			f		40.7773487		-73.9013521		0			0		168			0
S19			f		40.711266		-73.89218		0			0		168			0
S20			f		40.760424		-73.856316		0			0		168			0
S21			f		40.7538463		-73.8238407		0			0		168			0
S22			f		40.7358738		-73.8158194		0			0		168			0
S23			f		40.72205		-73.849351		0			0		168			0
S24			f		40.70524		-73.791466		0			0		168			0
S25			f		40.7573164		-73.7639544		0			0		168			0
S26			f		40.677402		-73.745064		0			0		168			0
S27			f		40.656083		-73.808091		0			0		168			0
S28			f		40.7119045		-73.8267727		0			0		168			0
S29			f		40.7056161		-73.9126437		0			0		168			0
S30			f		40.7464324		-73.8921163		0			0		168			0
S31			f		40.735082		-73.87067		0			0		168			0
S32			f		40.716441		-73.960043		0			0		168			0
S33			f		40.698686		-73.973347		0			0		168			0
S34			f		40.619335		-74.029466		0			0		168			0
S35			f		40.6583074		-73.9507922		0			0		168			0
S36			f		40.589015		-73.9608014		0			0		168			0
S37			f		40.657441		-73.874619		0			0		168			0
C1			c		40.858005		-73.90485		0.06		0		168			0.05
C2			c		40.860641		-73.871488		0.06		0		168			0.05
C3			c		40.883881		-73.881691		0.06		0		168			0.05
C4			c		40.8895832		-73.8929186		0.06		0		168			0.05
C5			c		40.89084899		-73.86422392	0.06		0		168			0.05
C6			c		40.869996		-73.876238		0.06		0		168			0.05
C7			c		40.873199		-73.87052		0.06		0		168			0.05
C8			c		40.889428		-73.864356		0.06		0		168			0.05
C9			c		40.884079		-73.866996		0.06		0		168			0.05
C10			c		40.888933		-73.898324		0.06		0		168			0.05
C11			c		40.887317		-73.899006		0.06		0		168			0.05
C12			c		40.84889079		-73.87712839	0.06		0		168			0.05
C13			c		40.851889		-73.868549		0.06		0		168			0.05
C14			c		40.861953		-73.890736		0.06		0		168			0.05
C15			c		40.86113175		-73.88043125	0.06		0		168			0.05
C16			c		40.896126		-73.882447		0.06		0		168			0.05
C17			c		40.85042		-73.915529		0.06		0		168			0.05
C18			c		40.833109		-73.828285		0.06		0		168			0.05
C19			c		40.838797		-73.845791		0.06		0		168			0.05
C20			c		40.835694		-73.888776		0.06		0		168			0.05
C21			c		40.816505		-73.872564		0.06		0		168			0.05
C22			c		40.906878		-73.904143		0.06		0		168			0.05
C23			c		40.861267		-73.89014		0.06		0		168			0.05
C24			c		40.887313		-73.916308		0.06		0		168			0.05
C25			c		40.850396		-73.8238255		0.06		0		168			0.05
C26			c		40.8688842		-73.7940624		0.06		0		168			0.05
C27			c		40.82366		-73.850766		0.06		0		168			0.05
C28			c		40.836706		-73.872355		0.06		0		168			0.05
C29			c		40.828933		-73.869326		0.06		0		168			0.05
C30			c		40.8229924		-73.93189254	0.06		0		168			0.05
C31			c		40.817335		-73.870322		0.06		0		168			0.05
C32			c		40.819274		-73.870418		0.06		0		168			0.05
C33			c		40.861379		-73.881414		0.06		0		168			0.05
C34			c		40.8543835		-73.8698135		0.06		0		168			0.05
C35			c		40.819113		-73.878003		0.06		0		168			0.05
C36			c		40.817471		-73.882622		0.06		0		168			0.05
C37			c		40.861948		-73.893726		0.06		0		168			0.05
C38			c		40.911236		-73.90791		0.06		0		168			0.05
C39			c		40.911295		-73.907652		0.06		0		168			0.05
C40			c		40.814213		-73.885886		0.06		0		168			0.05
C41			c		40.875553		-73.860526		0.06		0		168			0.05
C42			c		40.862402		-73.897174		0.06		0		168			0.05
C43			c		40.84976		-73.880055		0.06		0		168			0.05
C44			c		40.888353		-73.840908		0.06		0		168			0.05
C45			c		40.850274		-73.88992		0.06		0		168			0.05
C46			c		40.842795		-73.877694		0.06		0		168			0.05
C47			c		40.832862		-73.9236695		0.06		0		168			0.05
C48			c		40.828567		-73.9224975		0.06		0		168			0.05
C49			c		40.833505		-73.86232		0.06		0		168			0.05
C50			c		40.850017		-73.880035		0.06		0		168			0.05
C51			c		40.825217		-73.88546		0.06		0		168			0.05
C52			c		40.865657		-73.850613		0.06		0		168			0.05
C53			c		40.84155572		-73.87752267	0.06		0		168			0.05
C54			c		40.85557		-73.887565		0.06		0		168			0.05
C55			c		40.903281		-73.903612		0.06		0		168			0.05
C56			c		40.885219		-73.840474		0.06		0		168			0.05
C57			c		40.840565		-73.8429495		0.06		0		168			0.05
C58			c		40.8395035		-73.89561583	0.06		0		168			0.05
C59			c		40.871864		-73.805549		0.06		0		168			0.05
C60			c		40.849292		-73.902175		0.06		0		168			0.05
C61			c		40.841444		-73.888487		0.06		0		168			0.05
C62			c		40.83377		-73.877453		0.06		0		168			0.05
C63			c		40.826783		-73.9223805		0.06		0		168			0.05
C64			c		40.816171		-73.917594		0.06		0		168			0.05
C65			c		40.81165		-73.9143405		0.06		0		168			0.05
C66			c		40.865124		-73.898914		0.06		0		168			0.05
C67			c		40.814213		-73.885886		0.06		0		168			0.05
C68			c		40.866089		-73.896967		0.06		0		168			0.05
C69			c		40.877667		-73.90062		0.06		0		168			0.05
C70			c		40.844147		-73.918886		0.06		0		168			0.05
C71			c		40.813663		-73.905898		0.06		0		168			0.05
C72			c		40.822711		-73.890242		0.06		0		168			0.05
C73			c		40.82297053		-73.91288322	0.06		0		168			0.05
C74			c		40.819933		-73.887069		0.06		0		168			0.05
C75			c		40.835694		-73.925664		0.06		0		168			0.05
C76			c		40.841884		-73.876389		0.06		0		168			0.05
C77			c		40.847026		-73.882534		0.06		0		168			0.05
C78			c		40.822893		-73.91266		0.06		0		168			0.05
C79			c		40.80531602		-73.91533212	0.06		0		168			0.05
C80			c		40.81484		-73.90691		0.06		0		168			0.05
C81			c		40.82057088		-73.91403138	0.06		0		168			0.05
C82			c		40.82201		-73.914009		0.06		0		168			0.05
C83			c		40.692165		-73.985247		0.06		0		168			0.05
C84			c		40.689818		-73.9732		0.06		0		168			0.05
C85			c		40.688204		-73.966559		0.06		0		168			0.05
C86			c		40.676766		-73.965902		0.06		0		168			0.05
C87			c		40.617506		-74.040033		0.06		0		168			0.05
C88			c		40.5752145		-73.9716155		0.06		0		168			0.05
C89			c		40.677265		-74.008353		0.06		0		168			0.05
C90			c		40.682556		-73.961975		0.06		0		168			0.05
C91			c		40.662964		-73.9781295		0.06		0		168			0.05
C92			c		40.681307		-73.995212		0.06		0		168			0.05
C93			c		40.696389		-73.99734		0.06		0		168			0.05
C94			c		40.673811		-73.943717		0.06		0		168			0.05
C95			c		40.697746		-73.976199		0.06		0		168			0.05
C96			c		40.639285		-74.031909		0.06		0		168			0.05
C97			c		40.5774415		-73.9456015		0.06		0		168			0.05
C98			c		40.6578305		-73.9627005		0.06		0		168			0.05
C99			c		40.578225		-73.994834		0.06		0		168			0.05
C100		c		40.720628		-73.965524		0.06		0		168			0.05
C101		c		40.721075		-73.955512		0.06		0		168			0.05
C102		c		40.693456		-73.965908		0.06		0		168			0.05
C103		c		40.693127		-73.96879		0.06		0		168			0.05
C104		c		40.693473		-73.979168		0.06		0		168			0.05
C105		c		40.693222		-73.971887		0.06		0		168			0.05
C106		c		40.67207		-73.96598		0.06		0		168			0.05
C107		c		40.724446		-73.943326		0.06		0		168			0.05
C108		c		40.719973		-73.952215		0.06		0		168			0.05
C109		c		40.604085		-73.930703		0.06		0		168			0.05
C110		c		40.577492		-73.946325		0.06		0		168			0.05
C111		c		40.706315		-73.948025		0.06		0		168			0.05
C112		c		40.687208		-73.974621		0.06		0		168			0.05
C113		c		40.695873		-73.990218		0.06		0		168			0.05
C114		c		40.603519		-73.957375		0.06		0		168			0.05
C115		c		40.700784		-73.995146		0.06		0		168			0.05
C116		c		40.685861		-73.972638		0.06		0		168			0.05
C117		c		40.687093		-73.976238		0.06		0		168			0.05
C118		c		40.68293		-73.964596		0.06		0		168			0.05
C119		c		40.687072		-73.976557		0.06		0		168			0.05
C120		c		40.683557		-73.966797		0.06		0		168			0.05
C121		c		40.702573		-73.989752		0.06		0		168			0.05
C122		c		40.702631		-73.990641		0.06		0		168			0.05
C123		c		40.70238		-73.986553		0.06		0		168			0.05
C124		c		40.679442		-73.876233		0.06		0		168			0.05
C125		c		40.721653		-73.950305		0.06		0		168			0.05
C126		c		40.720622		-73.952488		0.06		0		168			0.05
C127		c		40.697793		-73.978653		0.06		0		168			0.05
C128		c		40.68829		-73.996136		0.06		0		168			0.05
C129		c		40.65021		-73.958798		0.06		0		168			0.05
C130		c		40.680946		-73.995481		0.06		0		168			0.05
C131		c		40.695719		-73.990256		0.06		0		168			0.05
C132		c		40.722315		-73.961527		0.06		0		168			0.05
C133		c		40.701079		-73.995307		0.06		0		168			0.05
C134		c		40.6969315		-73.990506		0.06		0		168			0.05
C135		c		40.705616		-73.947172		0.06		0		168			0.05
C136		c		40.68463		-73.990234		0.06		0		168			0.05
C137		c		40.721933		-73.955283		0.06		0		168			0.05
C138		c		40.676639		-73.978903		0.06		0		168			0.05
C139		c		40.596833		-73.9994		0.06		0		168			0.05
C140		c		40.72162567		-73.95369333	0.06		0		168			0.05
C141		c		40.610033		-73.96952		0.06		0		168			0.05
